"Designator","Value","Q","Package","Category","Stock","Manufacturer","MPN","Datasheet","Vendor","Link","Unit","Total","MOQ","Description","DNP"
"C3, C2, C1, ","100nF","3","0805","Electronics","53","Murata Electronics","GCM21BR72A104KA37L","https://www.mouser.sg/datasheet/2/281/murata_03122018_GCM_Series-1310150.pdf","LCSC","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_MuRata_GCM21BR72A104KA37L_100nF-104-10-100V-Car-level_C85866.html","0.030","0.09","20","C_Small: Unpolarized capacitor, small symbol",""
"C4, C5, C7, C6, C10, ","1uF","5","0805","Electronics","17","","","","Internal stock","","0","0.0","","C_Small: Unpolarized capacitor, small symbol",""
"C8, C11, ","10uF","2","0805","Electronics","30","","","","Internal stock","","0","0.0","","C_Small: Unpolarized capacitor, small symbol",""
"C9, ","10nF","1","0805","Electronics","55","Walsin Tech Corp","0805B103K631CT","https://datasheet.lcsc.com/szlcsc/1811301232_Huaxin-S-T-0805B103K631CT_C338146.pdf","LCSC","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Walsin-Tech-Corp-0805B103K631CT_C338146.html","0.026","0.03","20","C_Small: Unpolarized capacitor, small symbol",""
"D1, D2, ","Schottky diode","2","SOD-123F ","Electronics","52","Nexperia","PMEG3020EH","https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-MBR230LSFT1G_C126673.pdf","RS Components","https://sg.rs-online.com/web/p/rectifier-diodes-schottky-diodes/0485319","0.388","0.78","20","D_Schottky: Schottky diode",""
"D3, ","IR LED Emitter","1","TH","Electronics","39","ROHM","SIR-56ST3F ","https://docs-apac.rs-online.com/webdocs/1674/0900766b816747ad.pdf","RS Components","https://sg.rs-online.com/web/p/ir-leds/1780575/?sra=pstk","0.778","0.78","10","LD274: 950nm IR-LED, 5mm",""
"D4, D5, D6, D7, ","LED Yellow","4","0805","Electronics","54","Everlight Elec","17-215UYC/S530-A3/TR8","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-17-215UYC-S530-A3-TR8_C72036.pdf","LCSC","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_0805-Yellow-light_C72036.html","0.058","0.23","10","LED: Light emitting diode","D4, D5, "
"J1, ","USB Micro type-B","1","SMD","Connector","60","Jing Extension of the Electronic Co.","C10418","https://datasheet.lcsc.com/szlcsc/Jing-Extension-of-the-Electronic-Co-LCSC-MICRO-USB-5S-B-Type-horns-High-temperature_C10418.pdf","LCSC","https://lcsc.com/product-detail/USB-Connectors_Jing-Extension-of-the-Electronic-Co-Jing-Extension-of-the-Electronic-Co-MICRO-USB-5S-B-Type-horns-High-temperature_C10418.html","0.079","0.08","5","USB_B_Micro: USB Micro Type B connector",""
"J2, ","01x06 Male conn","1","TH","Connector","","","","","DNP","","","0","","Conn_01x06_Male: Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","J2, "
"J3, ","Battery connector","1","TH","Connector","","Takachi Electric Industrial","SN3-3PC","https://docs-apac.rs-online.com/webdocs/1659/0900766b81659aed.pdf","RS Components","https://sg.rs-online.com/web/p/products/1756075","2.484","2.48","1","Conn_01x02_Male: Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
